Sex,Age,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,2024 - 2025,2025 - 2026,2026 - 2027,2027 - 2028,2028 - 2029,2029 - 2030,2030 - 2031,2031 - 2032,2032 - 2033,2033 - 2034,2034 - 2035,2035 - 2036,2036 - 2037,2037 - 2038,2038 - 2039
2,62,669.7079487,628.5940576,619.6425586,611.5773203,603.9169486,596.3655949,589.0315643,582.3206556,575.5826405,569.5230245,564.4054921,559.4439681,554.9916719,550.8001969,547.0132168,544.0895655,541.4665619,538.9814001,536.9680081,535.4264644,533.754771,532.5542971,532.2533556,531.5320585,531.4970327
2,63,728.6205715,683.2918134,673.3119548,664.4748995,656.4091645,648.5147708,640.8875202,633.1817766,626.567977,619.9893367,613.9574724,608.6181792,604.001594,599.2799923,595.7470698,591.8564732,588.9077721,586.9027551,584.1998189,582.3742601,580.9156242,579.9592623,578.9648388,578.2360667,578.3344275
2,64,793.5370023,744.0947061,732.396311,722.5600559,713.2350784,705.4733349,697.2323726,689.6624618,682.2133579,675.3574685,668.8601345,662.948916,657.4862947,653.1222511,648.6990965,644.9218106,641.3877976,638.6533902,636.648069,634.3915426,632.8636911,631.603354,631.0835879,629.9966397,629.7498885
2,65,867.3302894,811.7870142,799.2470282,787.7971068,777.7055841,768.3894748,760.4002166,752.181381,744.213006,737.1140121,730.6592063,723.6373352,717.8867091,712.3646311,707.9088095,703.6806044,700.4825644,696.9116944,694.4167652,692.6831014,690.8822345,689.3383409,688.6051653,688.2689163,687.554247
2,66,950.5883316,889.7261503,874.666965,861.8494224,849.8315065,839.6348817,830.265617,822.0617503,814.2186601,806.1730742,798.9575211,792.0194084,785.608959,779.5425789,774.6973947,770.22463,766.2699249,762.9359516,759.8181048,757.5960201,755.9725887,754.4084123,753.2355838,752.6619634,752.5089492
2,67,1046.274525,977.9023981,961.3592765,945.3738569,932.4367632,919.915885,909.7572109,900.5268767,892.1391921,884.1772425,876.3683984,870.6284262,865.8252117,859.0701018,853.7384548,848.284444,844.2450137,840.795214,837.4388053,834.4227869,832.7544082,831.5772649,830.2567331,829.5161544,829.0692402
2,68,1153.912972,1077.81556,1057.688678,1040.518849,1024.278617,1011.365797,999.281146,988.3980139,978.6388546,970.3823074,962.6427693,958.3756566,954.8630525,948.145781,941.6603118,936.3042989,931.4213362,927.6337515,924.0814084,920.8548979,918.2230134,916.7016387,916.0465815,915.4353977,914.6273504
2,69,1275.891079,1190.566058,1167.970244,1147.620738,1129.962437,1113.645242,1099.775939,1087.592497,1076.667082,1067.140693,1058.77892,1054.696977,1050.934217,1043.587711,1037.187111,1030.621295,1025.560443,1020.872626,1017.234474,1013.935362,1011.693912,1009.271905,1008.154019,1007.62229,1006.819385
2,70,1412.091783,1316.926727,1291.249548,1267.738699,1246.902024,1228.539038,1212.291914,1198.466536,1185.629684,1175.086739,1165.414968,1159.041291,1153.27061,1145.18316,1138.192626,1132.037799,1125.828839,1121.165754,1116.549954,1113.211264,1110.312967,1108.132749,1106.16831,1105.48177,1105.80583
2,71,1565.026343,1458.025195,1428.410825,1402.028413,1378.347318,1356.534378,1338.089843,1321.184042,1307.552786,1294.404325,1284.074036,1273.860775,1265.695931,1258.064002,1250.727208,1243.543271,1237.733885,1231.474133,1226.927729,1222.875712,1220.135194,1217.702975,1216.654889,1214.544401,1214.80553
2,72,1736.819838,1618.888847,1584.66871,1553.69785,1526.649178,1501.913405,1480.052972,1461.474879,1444.386076,1430.282523,1417.202559,1406.854318,1397.151302,1389.012986,1381.378826,1373.741388,1367.262304,1361.758645,1355.68092,1351.689104,1347.960804,1345.961217,1344.150714,1343.193498,1341.751337
2,73,1931.415943,1799.721117,1762.131251,1726.498701,1695.077793,1667.064437,1641.949287,1619.567654,1600.85755,1582.917531,1569.189531,1556.285774,1545.338756,1535.429113,1527.673736,1520.582295,1513.098659,1506.677796,1501.784595,1496.467343,1492.844324,1489.569282,1488.059785,1486.884489,1486.620883
2,74,2147.316942,2003.775289,1961.819791,1922.648405,1886.241094,1853.302624,1824.975327,1799.816013,1776.680437,1757.259511,1739.266399,1725.571988,1712.302549,1701.718273,1692.357176,1684.762961,1677.224171,1670.953784,1665.00994,1660.463547,1655.679444,1652.472054,1650.014144,1649.200193,1648.636839
2,75,2395.74904,2233.742934,2189.909606,2145.603471,2105.989679,2067.59051,2034.359131,2004.630983,1978.703031,1955.256899,1936.141923,1918.110708,1904.490277,1891.285166,1880.721414,1871.424843,1864.074348,1857.416929,1850.96689,1845.589417,1841.644438,1837.660457,1835.619127,1833.225512,1833.291122
2,76,2684.384728,2499.418408,2447.804473,2402.39068,2356.591999,2315.268688,2275.580311,2240.937462,2211.005322,2184.285325,2160.703213,2141.00162,2123.294094,2109.154199,2096.1582,2086.201847,2077.090024,2070.400057,2064.082863,2058.365188,2053.838339,2050.125306,2046.905561,2045.405131,2044.345568
2,77,3021.773023,2809.504944,2747.520558,2693.735214,2646.365134,2599.848127,2555.992909,2515.23402,2480.060733,2448.669228,2421.874464,2397.623246,2378.028446,2359.815929,2346.236634,2333.629748,2323.810468,2314.983624,2309.127957,2303.134938,2298.095154,2294.065954,2291.919559,2289.086357,2288.730696
2,78,3414.086762,3171.472701,3096.259697,3032.146688,2975.900682,2927.01389,2877.978904,2833.829656,2791.405792,2754.453742,2723.091341,2695.239861,2670.937561,2651.272391,2632.960868,2619.784751,2607.437189,2598.285166,2589.801423,2584.268527,2579.574991,2575.775274,2572.11854,2571.444797,2569.177494
2,79,3868.056607,3590.509699,3502.96107,3424.40492,3356.927264,3299.119578,3248.199944,3197.682588,3151.571547,3107.647765,3070.130036,3037.084458,3009.554209,2984.93419,2965.61226,2947.273593,2934.657871,2922.391589,2914.145822,2906.101198,2901.714288,2897.997135,2894.447423,2892.671367,2892.794543
2,80,4392.119393,4075.209674,3972.487401,3880.173347,3798.37913,3727.923901,3667.227568,3614.419842,3561.901318,3513.877047,3468.657074,3430.303995,3397.477475,3368.996604,3344.823184,3325.211507,3307.574557,3295.289479,3283.979329,3276.193199,3269.761513,3266.771499,3263.72491,3261.690643,3260.538295
